ranking_title	ranking_version	country_name	country_rank	country_score
Criminality Index	2021	Maldives	54	4.06
Criminality Index	2021	Mali	144	5.89
Criminality Index	2021	Malta	85	4.65
Criminality Index	2021	Marshall Islands	7	2.31
Criminality Index	2021	Mauritania	68	4.38
Criminality Index	2021	Mauritius	73	4.51
Criminality Index	2021	Mexico	190	7.56
Criminality Index	2021	Micronesia (Federated States of)	24	3.3
Criminality Index	2021	Moldova	71	4.45
Criminality Index	2021	Monaco	10	2.43
Criminality Index	2021	Mongolia	50	4.01
Criminality Index	2021	Montenegro	149	6
Criminality Index	2021	Morocco	90	4.79
Criminality Index	2021	Mozambique	173	6.53
Criminality Index	2021	Myanmar	191	7.59
Criminality Index	2021	Namibia	64	4.33
Criminality Index	2021	Nauru	2	1.76
Criminality Index	2021	Nepal	159	6.16
Criminality Index	2021	Netherlands	86	4.69
Criminality Index	2021	New Zealand	22	3.25
Criminality Index	2021	Nicaragua	154	6.06
Criminality Index	2021	Niger	150	6.01
Criminality Index	2021	Nigeria	189	7.15
Criminality Index	2021	North Macedonia	120	5.31
Criminality Index	2021	Norway	41	3.81
Criminality Index	2021	Oman	58	4.14
Criminality Index	2021	Pakistan	164	6.28
Criminality Index	2021	Palau	15	2.94
Criminality Index	2021	Panama	177	6.68
Criminality Index	2021	Papua New Guinea	125	5.44
Criminality Index	2021	Paraguay	178	6.7
Criminality Index	2021	Peru	168	6.35
Criminality Index	2021	Philippines	180	6.84
Criminality Index	2021	Poland	50	4.01
Criminality Index	2021	Portugal	77	4.55
Criminality Index	2021	Qatar	117	5.21
Criminality Index	2021	Romania	79	4.59
Criminality Index	2021	Russia	162	6.24
Criminality Index	2021	Rwanda	34	3.68
Criminality Index	2021	Samoa	5	2.04
Criminality Index	2021	San Marino	18	3.01
Criminality Index	2021	Saudi Arabia	150	6.01
Criminality Index	2021	Senegal	92	4.81
Criminality Index	2021	Serbia	161	6.21
Criminality Index	2021	Seychelles	34	3.68
Criminality Index	2021	Sierra Leone	123	5.4
Criminality Index	2021	Singapore	20	3.13
Criminality Index	2021	Slovakia	86	4.69
Criminality Index	2021	Slovenia	62	4.29
Criminality Index	2021	Solomon Islands	59	4.15
Criminality Index	2021	Somalia	140	5.79
Criminality Index	2021	South Africa	175	6.63
Criminality Index	2021	South Sudan	167	6.34
Criminality Index	2021	Spain	139	5.78
Criminality Index	2021	Sri Lanka	83	4.64
Criminality Index	2021	St. Kitts and Nevis	56	4.1
Criminality Index	2021	St. Lucia	55	4.09
Criminality Index	2021	St. Vincent and the Grenadines	24	3.3
Criminality Index	2021	Sudan	170	6.46
Criminality Index	2021	Suriname	96	4.9
Criminality Index	2021	Sweden	78	4.56
Criminality Index	2021	Switzerland	65	4.34
Criminality Index	2021	Syria	180	6.84
Criminality Index	2021	São Tomé and Príncipe	3	1.78
Criminality Index	2021	Tajikistan	132	5.61
Criminality Index	2021	Tanzania	157	6.15
Criminality Index	2021	Thailand	138	5.76
Criminality Index	2021	Timor-Leste	47	3.96
Criminality Index	2021	Togo	121	5.33
Criminality Index	2021	Tonga	38	3.78
Criminality Index	2021	Trinidad and Tobago	103	4.94
Criminality Index	2021	Tunisia	39	3.79
Criminality Index	2021	Turkey	182	6.89
Criminality Index	2021	Turkmenistan	81	4.61
Criminality Index	2021	Tuvalu	1	1.54
Criminality Index	2021	Uganda	156	6.14
Criminality Index	2021	Ukraine	160	6.18
Criminality Index	2021	United Arab Emirates	137	5.75
Criminality Index	2021	United Kingdom	95	4.89
Criminality Index	2021	United States	128	5.5
Criminality Index	2021	Uruguay	12	2.69
Criminality Index	2021	Uzbekistan	104	4.96
Criminality Index	2021	Vanuatu	6	2.2
Criminality Index	2021	Venezuela	176	6.64
Criminality Index	2021	Vietnam	164	6.28
Criminality Index	2021	Yemen	155	6.13
Criminality Index	2021	Zambia	101	4.93
Criminality Index	2021	Zimbabwe	134	5.66
Democracy Index	2022	Afghanistan	167	0.32
Democracy Index	2022	Albania	64	6.41
Democracy Index	2022	Algeria	113	3.66
Democracy Index	2022	Angola	109	3.96
Democracy Index	2022	Argentina	50	6.85
Democracy Index	2022	Armenia	82	5.63
Democracy Index	2022	Australia	15	8.71
Democracy Index	2022	Austria	20	8.2
Democracy Index	2022	Azerbaijan	134	2.87
Democracy Index	2022	Bahrain	142	2.52
Democracy Index	2022	Bangladesh	73	5.99
Democracy Index	2022	Belarus	153	1.99
Democracy Index	2022	Belgium	36	7.64
Democracy Index	2022	Benin	104	4.28
Democracy Index	2022	Bhutan	84	5.54
Democracy Index	2022	Bolivia	100	4.51
Democracy Index	2022	Bosnia and Herzegovina	97	5
Democracy Index	2022	Botswana	32	7.73
Democracy Index	2022	Brazil	51	6.78
Democracy Index	2022	Bulgaria	57	6.53
Democracy Index	2022	Burkina Faso	127	3.08
Democracy Index	2022	Burundi	148	2.13
Democracy Index	2022	Cambodia	121	3.18
Democracy Index	2022	Cameroon	140	2.56
Democracy Index	2022	Canada	12	8.88
Democracy Index	2022	Cape Verde	35	7.65
Democracy Index	2022	Central African Republic	164	1.35
Democracy Index	2022	Chad	160	1.67
Democracy Index	2022	Chile	19	8.22
Democracy Index	2022	China	156	1.94
Democracy Index	2022	Colombia	53	6.72
Democracy Index	2022	Comoros	120	3.2
Democracy Index	2022	Costa Rica	17	8.29
Democracy Index	2022	Croatia	59	6.5
Democracy Index	2022	Cuba	139	2.65
Democracy Index	2022	Cyprus	37	7.38
Democracy Index	2022	Czech Republic	25	7.97
Democracy Index	2022	Democratic Republic of the Congo	162	1.48
Democracy Index	2022	Denmark	6	9.28
Democracy Index	2022	Djibouti	137	2.74
Democracy Index	2022	Dominican Republic	65	6.39
Democracy Index	2022	East Timor	44	7.06
Democracy Index	2022	Ecuador	81	5.69
Democracy Index	2022	Egypt	131	2.93
Democracy Index	2022	El Salvador	93	5.06
Democracy Index	2022	Equatorial Guinea	158	1.92
Democracy Index	2022	Eritrea	152	2.03
Democracy Index	2022	Estonia	27	7.96
Democracy Index	2022	Eswatini	129	3.01
Democracy Index	2022	Ethiopia	122	3.17
Democracy Index	2022	Fiji	83	5.55
Democracy Index	2022	Finland	5	9.29
Democracy Index	2022	France	22	8.07
Democracy Index	2022	Gabon	118	3.4
Democracy Index	2022	Gambia	102	4.47
Democracy Index	2022	Georgia	90	5.2
Democracy Index	2022	Germany	14	8.8
Democracy Index	2022	Ghana	63	6.43
Democracy Index	2022	Greece	25	7.97
Democracy Index	2022	Guatemala	98	4.68
Democracy Index	2022	Guinea	145	2.32
Democracy Index	2022	Guinea-Bissau	140	2.56
Democracy Index	2022	Guyana	67	6.34
Democracy Index	2022	Haiti	135	2.81
Democracy Index	2022	Honduras	91	5.15
Democracy Index	2022	Hong Kong	88	5.28
Democracy Index	2022	Hungary	56	6.64
Democracy Index	2022	Iceland	3	9.52
Democracy Index	2022	India	46	7.04
Democracy Index	2022	Indonesia	54	6.71
Democracy Index	2022	Iran	154	1.96
Democracy Index	2022	Iraq	124	3.13
Democracy Index	2022	Ireland	8	9.13
Democracy Index	2022	Israel	29	7.93
Democracy Index	2022	Italy	34	7.69
Democracy Index	2022	Ivory Coast	106	4.22
Democracy Index	2022	Jamaica	42	7.13
Democracy Index	2022	Japan	16	8.33
Democracy Index	2022	Jordan	122	3.17
Democracy Index	2022	Kazakhstan	127	3.08
Democracy Index	2022	Kenya	94	5.05
Democracy Index	2022	Kuwait	111	3.83
Democracy Index	2022	Kyrgyzstan	116	3.62
Democracy Index	2022	Laos	159	1.77
Democracy Index	2022	Latvia	38	7.37
Democracy Index	2022	Lebanon	115	3.64
Democracy Index	2022	Lesotho	71	6.19
Democracy Index	2022	Liberia	86	5.43
Democracy Index	2022	Libya	151	2.06
Democracy Index	2022	Lithuania	39	7.31
Democracy Index	2022	Luxembourg	13	8.81
Democracy Index	2022	Madagascar	80	5.7
Democracy Index	2022	Malawi	76	5.91
Democracy Index	2022	Malaysia	40	7.3
Democracy Index	2022	Mali	119	3.23
Democracy Index	2022	Malta	33	7.7
Democracy Index	2022	Mauritania	108	4.03
Democracy Index	2022	Mauritius	21	8.14
Democracy Index	2022	Mexico	89	5.25
Democracy Index	2022	Moldova	69	6.23
Democracy Index	2022	Mongolia	66	6.35
Democracy Index	2022	Montenegro	61	6.45
Democracy Index	2022	Morocco	95	5.04
Democracy Index	2022	Mozambique	117	3.51
Democracy Index	2022	Myanmar	166	0.74
Democracy Index	2022	Namibia	58	6.52
Democracy Index	2022	Nepal	101	4.49
Democracy Index	2022	Netherlands	9	9
Democracy Index	2022	New Zealand	2	9.61
Democracy Index	2022	Nicaragua	143	2.5
Democracy Index	2022	Niger	112	3.73
Democracy Index	2022	Nigeria	105	4.23
Democracy Index	2022	North Korea	165	1.08
Democracy Index	2022	North Macedonia	72	6.1
Democracy Index	2022	Norway	1	9.81
Democracy Index	2022	Oman	125	3.12
Democracy Index	2022	Pakistan	107	4.13
Democracy Index	2022	Palestine	110	3.86
Democracy Index	2022	Panama	49	6.91
Democracy Index	2022	Papua New Guinea	74	5.97
Democracy Index	2022	Paraguay	77	5.89
Democracy Index	2022	Peru	75	5.92
Democracy Index	2022	Philippines	52	6.73
Democracy Index	2022	Poland	46	7.04
Democracy Index	2022	Portugal	28	7.95
Democracy Index	2022	Qatar	114	3.65
Democracy Index	2022	Republic of the Congo	136	2.79
Democracy Index	2022	Romania	61	6.45
Democracy Index	2022	Russia	146	2.28
Democracy Index	2022	Rwanda	126	3.1
Democracy Index	2022	Saudi Arabia	150	2.08
Democracy Index	2022	Senegal	79	5.72
Democracy Index	2022	Serbia	68	6.33
Democracy Index	2022	Sierra Leone	96	5.03
Democracy Index	2022	Singapore	70	6.22
Democracy Index	2022	Slovakia	43	7.07
Democracy Index	2022	Slovenia	31	7.75
Democracy Index	2022	South Africa	45	7.05
Democracy Index	2022	South Korea	24	8.03
Democracy Index	2022	Spain	22	8.07
Democracy Index	2022	Sri Lanka	60	6.47
Democracy Index	2022	Sudan	144	2.47
Democracy Index	2022	Suriname	48	6.95
Democracy Index	2022	Sweden	4	9.39
Democracy Index	2022	Switzerland	7	9.14
Democracy Index	2022	Syria	163	1.43
Democracy Index	2022	Taiwan	10	8.99
Democracy Index	2022	Tajikistan	156	1.94
Democracy Index	2022	Tanzania	92	5.1
Democracy Index	2022	Thailand	55	6.67
Democracy Index	2022	Togo	130	2.99
Democracy Index	2022	Trinidad and Tobago	41	7.16
Democracy Index	2022	Tunisia	85	5.51
Democracy Index	2022	Turkey	103	4.35
Democracy Index	2022	Turkmenistan	161	1.66
Democracy Index	2022	Uganda	99	4.55
Democracy Index	2022	Ukraine	87	5.42
Democracy Index	2022	United Arab Emirates	133	2.9
Democracy Index	2022	United Kingdom	18	8.28
Democracy Index	2022	United States	30	7.85
Democracy Index	2022	Uruguay	11	8.91
Democracy Index	2022	Uzbekistan	149	2.12
Democracy Index	2022	Venezuela	147	2.23
Democracy Index	2022	Vietnam	138	2.73
Democracy Index	2022	Yemen	155	1.95
Democracy Index	2022	Zambia	78	5.8
Democracy Index	2022	Zimbabwe	132	2.92
Environmental Performance Index	2022	Afghanistan	81	43.6
Environmental Performance Index	2022	Albania	62	47.1
Environmental Performance Index	2022	Algeria	155	29.6
Environmental Performance Index	2022	Angola	151	30.5
Environmental Performance Index	2022	Antigua and Barbuda	39	52.4
Environmental Performance Index	2022	Argentina	92	41.1
Environmental Performance Index	2022	Armenia	56	48.3
Environmental Performance Index	2022	Australia	17	60.1
Environmental Performance Index	2022	Austria	8	66.5
Environmental Performance Index	2022	Azerbaijan	104	38.6
Environmental Performance Index	2022	Bahamas	28	56.2
Environmental Performance Index	2022	Bahrain	90	42
Environmental Performance Index	2022	Bangladesh	177	23.1
Environmental Performance Index	2022	Barbados	36	53.2
Environmental Performance Index	2022	Belarus	55	48.5
Environmental Performance Index	2022	Belgium	21	58.2
Environmental Performance Index	2022	Belize	49	50
Environmental Performance Index	2022	Benin	155	29.6
Environmental Performance Index	2022	Bhutan	85	42.5
Environmental Performance Index	2022	Bolivia	99	40.1
Environmental Performance Index	2022	Bosnia and Herzegovina	102	39.4
Environmental Performance Index	2022	Botswana	35	54
Environmental Performance Index	2022	Brazil	81	43.6
Environmental Performance Index	2022	Brunei Darussalam	71	45.7
Environmental Performance Index	2022	Bulgaria	41	51.9
Environmental Performance Index	2022	Burkina Faso	127	35.5
Environmental Performance Index	2022	Burundi	151	30.5
Environmental Performance Index	2022	Cabo Verde	91	41.9
Environmental Performance Index	2022	Cambodia	154	30.1
Environmental Performance Index	2022	Cameroon	153	30.2
Environmental Performance Index	2022	Canada	49	50
Environmental Performance Index	2022	Central African Republic	75	44.9
Environmental Performance Index	2022	Chad	165	28.1
Environmental Performance Index	2022	Chile	65	46.7
Environmental Performance Index	2022	China	160	28.4
Environmental Performance Index	2022	Colombia	87	42.4
Environmental Performance Index	2022	Comoros	85	42.5
Environmental Performance Index	2022	Costa Rica	68	46.3
Environmental Performance Index	2022	Cote d'Ivoire	138	32.8
Environmental Performance Index	2022	Croatia	16	60.2
Environmental Performance Index	2022	Cuba	60	47.5
Environmental Performance Index	2022	Cyprus	22	58
Environmental Performance Index	2022	Czech Republic	19	59.9
Environmental Performance Index	2022	Dem. Rep. Congo	119	36.9
Environmental Performance Index	2022	Denmark	1	77.9
Environmental Performance Index	2022	Djibouti	60	47.5
Environmental Performance Index	2022	Dominica	42	51.2
Environmental Performance Index	2022	Dominican Republic	89	42.2
Environmental Performance Index	2022	Ecuador	66	46.5
Environmental Performance Index	2022	Egypt	127	35.5
Environmental Performance Index	2022	El Salvador	95	40.8
Environmental Performance Index	2022	Equatorial Guinea	77	44.8
Environmental Performance Index	2022	Eritrea	144	31.7
Environmental Performance Index	2022	Estonia	14	61.4
Environmental Performance Index	2022	Eswatini	75	44.9
Environmental Performance Index	2022	Ethiopia	143	31.8
Environmental Performance Index	2022	Fiji	147	31.3
Environmental Performance Index	2022	Finland	3	76.5
Environmental Performance Index	2022	France	12	62.5
Environmental Performance Index	2022	Gabon	51	49.7
Environmental Performance Index	2022	Gambia	122	36.4
Environmental Performance Index	2022	Georgia	103	39.1
Environmental Performance Index	2022	Germany	13	62.4
Environmental Performance Index	2022	Ghana	170	27.7
Environmental Performance Index	2022	Greece	28	56.2
Environmental Performance Index	2022	Grenada	58	47.9
